Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
SDP,Padres,139.0,527.921,584.089,139.54,87.1261,24.0412,0.798871,27.5738,78.095,84.2395,48.2558,3.53585,110.472,2.07098,5.06184,0.562507,10.3304,9.41614,3.56058,0.26432,0.325499,0.469579,0.795078,0.339915,0.0826171,0.189135,0.436815,0.205259,3.81817,0.283504,,,82.3046,13.979,-0.4,-0.615758,-0.615758,3.60482,14.840536534786224,0.6379329860210419,122.129,750.4,5.398561151,750.4,5.398561151,37.45000076293945,0.31515152,3B,/players/manny-machado/11493/stats?position=3B,29,NL,Manny Machado,592518,11493,11493
NYY,Yankees,111.0,386.257,438.413,88.0103,51.9306,17.2644,1.15455,17.6607,51.6212,54.9759,43.364,1.80964,101.006,4.68585,3.37783,0.728061,6.42501,3.07617,0.979697,0.227854,0.310864,0.415697,0.726561,0.315433,0.0989115,0.230391,0.42932,0.187843,3.60068,0.259623,,,53.1386,1.85395,10.13,-0.556355,-0.556355,3.59265,2.286148190498352,17.86148166656494,105.666,477.9,4.305405405,477.9,4.305405405,175.14999389648438,0.01612903,C,/players/austin-wells/27562/stats?position=C,9,AL,Austin Wells,669224,27562,27562
BOS,Red Sox,139.0,535.3,592.184,145.33,88.7834,32.7098,5.06223,18.7747,88.8997,69.4941,47.4493,1.66046,133.971,5.84626,2.69476,0.893771,8.52274,33.5574,6.37042,0.271493,0.335919,0.456732,0.792651,0.341923,0.0801259,0.226231,0.354177,0.185239,7.47574,0.328503,,,84.4027,15.1302,1.26,3.02317,3.02317,3.50177,15.565935850143433,-1.432737112045288,118.511,786.6,5.658992805,786.6,5.658992805,21.389999389648438,0.0,OF,/players/jarren-duran/24617/stats?position=OF,3,AL,Jarren Duran,680776,24617,24617
LAD,Dodgers,135.0,508.981,585.266,144.934,93.0076,28.8849,2.49834,20.5433,83.1942,79.0492,63.9789,7.61862,89.2624,6.61351,5.07276,0.619714,10.3151,12.105,3.73796,0.284753,0.368644,0.472405,0.84105,0.360331,0.109316,0.152516,0.716751,0.187652,4.90338,0.307709,,,92.0876,23.6243,1.44,-0.323958,-0.323958,3.4853,23.396035194396973,-9.11402940750122,133.892,820.5,6.077777777,820.5,6.077777777,26.920000076293945,0.0,1B,/players/freddie-freeman/5361/stats?position=1B,22,NL,Freddie Freeman,518692,5361,5361
NYY,Yankees,130.0,503.603,561.965,122.458,71.1345,21.2139,2.50175,27.6083,86.4196,71.2616,49.0995,2.49282,151.015,4.80138,3.4369,1.02486,7.32398,36.6747,8.49533,0.243165,0.314399,0.459689,0.774089,0.33212,0.087371,0.268727,0.325129,0.216524,6.93419,0.288811,,,75.6615,9.92392,-1.32,2.92712,2.92712,3.46688,14.118175506591797,0.686172604560852,117.404,730.3,5.617692307,730.3,5.617692307,21.799999237060547,0.02469136,2B/OF,/players/jazz-chisholm-jr/20454/stats?position=2B/OF,9,AL,Jazz Chisholm Jr.,665862,20454,20454
ATL,Braves,132.0,515.278,563.228,142.092,91.0933,29.0493,3.06875,18.8806,82.2805,69.6371,38.0302,3.4212,111.388,5.10673,3.11972,1.6931,10.4305,21.6396,5.55615,0.275758,0.329862,0.453969,0.783831,0.336605,0.0675219,0.197767,0.341421,0.178212,6.09281,0.317449,,,77.8645,11.9792,1.41,1.04525,1.04525,3.44412,11.169243454933167,3.447036862373352,115.032,714.0,5.409090909,714.0,5.409090909,41.880001068115234,0.0,OF,/players/michael-harris-ii/25931/stats?position=OF,16,NL,Michael Harris II,671739,25931,25931
SFG,Giants,144.0,547.285,618.878,132.597,78.4216,28.0858,1.62912,24.4605,79.797,78.6344,61.5626,1.6902,150.027,2.99786,5.20073,0.431608,7.91895,12.2092,3.84198,0.242282,0.319518,0.433636,0.753155,0.325862,0.0994746,0.242418,0.410343,0.191355,4.66046,0.286077,,,80.2068,7.8117,-1.82,-0.229323,-0.229323,3.44036,7.882354035973549,4.84666645526886,110.961,722.6,5.018055555,722.6,5.018055555,91.93000030517578,0.0,SS,/players/willy-adames/15986/stats?position=SS,30,NL,Willy Adames,642715,15986,15986
NYM,Mets,142.0,532.324,613.002,133.193,72.6781,23.2719,0.688846,36.5542,84.434,97.9883,62.3583,4.49541,135.153,12.961,4.77969,0.579196,10.4516,2.5717,0.95018,0.250211,0.340471,0.502523,0.842995,0.359419,0.101726,0.220478,0.461389,0.252313,2.72437,0.264477,,,96.0021,24.2943,-0.67,-1.00307,-1.00307,3.43418,24.72208082675934,-11.857459008693695,135.094,860.9,6.062676056,860.9,6.062676056,47.630001068115234,0.00571429,1B,/players/pete-alonso/19251/stats?position=1B,25,NL,Pete Alonso,624413,19251,19251
TOR,Blue Jays,99.0,345.198,387.811,88.8938,61.5728,16.057,0.211196,11.0529,45.2935,46.0205,34.5192,0.6272,49.8764,4.43838,3.14626,0.509559,9.96745,0.0,0.0,0.257515,0.330108,0.401311,0.731419,0.320617,0.0890103,0.12861,0.692095,0.143795,1.42248,0.270831,,,48.6234,3.25792,8.29,-0.788478,-0.788478,3.36161,3.9448587894439697,15.655256748199463,110.667,420.2,4.244444444,420.2,4.244444444,255.17999267578125,0.05555556,C,/players/alejandro-kirk/22581/stats?position=C,14,AL,Alejandro Kirk,672386,22581,22581
ATH,Athletics,118.0,401.768,445.271,97.2014,51.2748,18.8705,1.24715,25.8089,60.2268,65.0461,35.2374,1.00515,113.019,4.18757,3.3372,0.740908,6.25642,3.7604,1.18521,0.241934,0.30735,0.487827,0.795177,0.339032,0.079137,0.25382,0.311783,0.245892,3.9482,0.268113,,,62.4272,10.3403,-4.22,-0.435844,-0.435844,3.34728,12.934472650289536,4.608333110809326,126.243,568.2,4.815254237,568.2,4.815254237,119.69000244140625,0.02054795,C,/players/shea-langeliers/25816/stats?position=C,10,AL,Shea Langeliers,669127,25816,25816
TOR,Blue Jays,133.0,530.701,569.845,148.252,104.769,26.5905,1.56418,15.3286,72.1544,68.3669,30.4862,0.051457,100.909,3.96871,4.1028,0.58642,12.9071,10.2382,3.68627,0.279351,0.320956,0.422002,0.742957,0.322322,0.053499,0.177081,0.302116,0.14265,4.37514,0.317568,,,72.2289,5.56953,-0.12,-0.543732,-0.543732,3.33158,7.193749904632568,6.037407286465168,111.867,638.3,4.79924812,638.3,4.79924812,113.95999908447266,0.0,SS,/players/bo-bichette/19612/stats?position=SS,14,AL,Bo Bichette,666182,19612,19612
ATH,Athletics,137.0,500.374,565.666,128.664,68.2833,23.8702,1.92446,34.586,82.7386,87.2101,51.4406,3.13513,161.316,9.46422,3.90807,0.479184,7.54389,6.30479,2.09265,0.257136,0.335409,0.519893,0.855303,0.363316,0.0909382,0.28518,0.31888,0.262758,4.43401,0.305072,,,90.3629,24.1924,-0.01,-0.581442,-0.581442,3.30469,27.460164546966553,-14.349774131551385,143.325,818.2,5.972262773,818.2,5.972262773,62.2400016784668,0.91194969,DH/OF,/players/brent-rooker/19627/stats?position=DH/OF,10,AL,Brent Rooker,667670,19627,19627
BAL,Orioles,122.0,466.216,512.351,123.555,76.0109,25.0265,3.30778,19.2095,68.2109,66.2081,35.543,1.20068,116.05,6.48825,3.23877,0.865244,8.73745,8.15018,2.30047,0.265016,0.323735,0.456495,0.78023,0.33586,0.0693724,0.226505,0.306273,0.191479,5.16769,0.312228,,,70.5238,10.59,0.18,-0.223831,-0.223831,3.25315,13.063570722937584,1.3279975056648254,122.666,632.2,5.181967213,632.2,5.181967213,90.2300033569336,0.01492537,2B/3B,/players/jordan-westburg/27815/stats?position=2B/3B,2,AL,Jordan Westburg,676059,27815,27815
PIT,Pirates,133.0,495.984,556.136,126.243,70.352,27.0211,1.65885,27.2107,81.9417,79.1984,52.8407,4.05664,157.521,3.44802,3.40211,0.461247,7.68348,24.8932,5.37064,0.254529,0.328486,0.480284,0.80877,0.345233,0.095014,0.283242,0.335451,0.225755,5.91244,0.314732,,,80.7465,15.6908,-4.09,1.83601,1.83601,3.18689,14.767930507659912,-2.406514286994934,119.446,754.6,5.67368421,754.6,5.67368421,37.369998931884766,0.04575163,SS,/players/oneil-cruz/21711/stats?position=SS,27,NL,Oneil Cruz,665833,21711,21711
SEA,Mariners,140.0,506.107,587.396,120.135,72.3833,22.869,2.0689,22.8141,82.3769,67.5368,63.5811,0.0530947,147.619,13.7726,3.3445,0.590151,9.92603,26.5417,8.17352,0.237371,0.33655,0.425966,0.762516,0.334479,0.108242,0.251311,0.43071,0.188595,6.03908,0.287068,,,80.201,11.4885,0.0,0.81664,0.81664,3.16914,17.92156147956848,-6.849225044250488,125.45,723.2,5.165714285,723.2,5.165714285,134.9199981689453,0.04117647,OF,/players/randy-arozarena/19290/stats?position=OF,11,AL,Randy Arozarena,668227,19290,19290
